Order,family,General01
1,Óxido,Óxido de
2,Hidróxido,Hidróxido de
3,Oxácido,Oxácido de
4,Hidruro,Hidruro de
5,Hidrácido,Hidrácido de
6,Oxosal,Oxosal
7,Sal,Sal
