Order,family,General01
1,Oxide,Oxide of
2,Hydroxide,Hydroxide of
3,Oxacid,Oxacid of
4,Hydracid,Hydracid of
5,Hydride,Hydride of
6,Oxosalt,Oxosalt of
7,Salt,Salt of
