Order,Symbol,Name,Type,Valence,Amount of Valences,Oxide_ValenceOrder1,Oxide_ValenceOrder2,Oxide_ValenceOrder3,Oxide_ValenceOrder4,Oxide_ValenceOrder5,Stock,IUPAC,Detail
54,Xe,Xenón,Noble gas,0,1,No corresponde,,,,,No corresponde,No corresponde,No corresponde
55,Cs,Cesio,Metal,1,1,No corresponde,,,,,No corresponde,No corresponde,No corresponde
56,Ba,Bario,Metal,2,1,No corresponde,,,,,No corresponde,No corresponde,No corresponde
57,La,Lantano,Metal,3,1,No corresponde,,,,,No corresponde,No corresponde,No corresponde
58,Ce,Cerio,Metal,3;4,2,No corresponde,No corresponde,,,,No corresponde,No corresponde,No corresponde
59,Pr,Praseodimio,Metal,3;4,2,No corresponde,No corresponde,,,,No corresponde,No corresponde,No corresponde
60,Nd,Neodimio,Metal,3,1,No corresponde,,,,,No corresponde,No corresponde,No corresponde
61,Pm,Prometio,Metal,3,1,No corresponde,,,,,No corresponde,No corresponde,No corresponde
62,Sm,Samario,Metal,2;3,2,No corresponde,No corresponde,,,,No corresponde,No corresponde,No corresponde
63,Eu,Europio,Metal,2;3,2,No corresponde,No corresponde,,,,No corresponde,No corresponde,No corresponde
64,Gd,Gadolinio,Metal,3,1,No corresponde,,,,,No corresponde,No corresponde,No corresponde
65,Tb,Terbio,Metal,3;4,2,No corresponde,No corresponde,,,,No corresponde,No corresponde,No corresponde
66,Dy,Disprosio,Metal,3,1,No corresponde,,,,,No corresponde,No corresponde,No corresponde
67,Ho,Holmio,Metal,3,1,No corresponde,,,,,No corresponde,No corresponde,No corresponde
68,Er,Erbio,Metal,3,1,No corresponde,,,,,No corresponde,No corresponde,No corresponde
69,Tm,Tulio,Metal,2;3,2,No corresponde,No corresponde,,,,No corresponde,No corresponde,No corresponde
70,Yb,Iterbio,Metal,2;3,2,No corresponde,No corresponde,,,,No corresponde,No corresponde,No corresponde
71,Lu,Lutecio,Metal,3,1,No corresponde,,,,,No corresponde,No corresponde,No corresponde
72,Hf,Hafnio,Metal,4,1,No corresponde,,,,,No corresponde,No corresponde,No corresponde
73,Ta,Tantalio,Metal,5,1,No corresponde,,,,,No corresponde,No corresponde,No corresponde
74,W,Tungsteno,Metal,2;3;4;5;6,5,No corresponde,No corresponde,No corresponde,No corresponde,No corresponde,No corresponde,No corresponde,No corresponde
75,Re,Renio,Metal,1;2;4;6;7,5,No corresponde,No corresponde,No corresponde,No corresponde,No corresponde,No corresponde,No corresponde,No corresponde
76,Os,Osmio,Metal,2;3;4;6;8,5,No corresponde,No corresponde,No corresponde,No corresponde,No corresponde,No corresponde,No corresponde,No corresponde
77,Ir,Iridio,Metal,2;3;4;6,4,No corresponde,No corresponde,No corresponde,No corresponde,,No corresponde,No corresponde,No corresponde
78,Pt,Platino,Metal,2;4,2,No corresponde,No corresponde,,,,No corresponde,No corresponde,No corresponde
79,Au,Oro,Metal,1;3,2,No corresponde,No corresponde,,,,No corresponde,No corresponde,No corresponde
80,Hg,Mercurio,Metal,1;2,2,No corresponde,No corresponde,,,,No corresponde,No corresponde,No corresponde
81,Tl,Talio,Metal,1;3,2,No corresponde,No corresponde,,,,No corresponde,No corresponde,No corresponde
82,Pb,Plomo,Metal,2;4,2,No corresponde,No corresponde,,,,No corresponde,No corresponde,No corresponde
83,Bi,Bismuto,Metal,3;5,2,No corresponde,No corresponde,,,,No corresponde,No corresponde,No corresponde
84,Po,Polonio,Metalloid,2;4,2,Ácido Polonioso,Ácido Polónico,,,,Poloniato,OxoPoloniato,de Hidrógeno
85,At,Astato,Non-metal,1;3;5;7,4,Ácido HipoAstatoso,Ácido Astatoso,Ácido Astático,Ácido PerAstático,,Astatiato,OxoAstatiato,de Hidrógeno
86,Rn,Radón,Noble gas,0,1,No corresponde,,,,,No corresponde,No corresponde,No corresponde
87,Fr,Francio,Metal,1,1,No corresponde,,,,,No corresponde,No corresponde,No corresponde
88,Ra,Radio,Metal,2,1,No corresponde,,,,,No corresponde,No corresponde,No corresponde
89,Ac,Actinio,Metal,3,1,No corresponde,,,,,No corresponde,No corresponde,No corresponde
90,Th,Torio,Metal,4,1,No corresponde,,,,,No corresponde,No corresponde,No corresponde
91,Pa,Protactinio,Metal,4;5,2,No corresponde,No corresponde,,,,No corresponde,No corresponde,No corresponde
92,U,Uranio,Metal,3;4;5;6,4,No corresponde,No corresponde,No corresponde,No corresponde,,No corresponde,No corresponde,No corresponde
93,Np,Neptunio,Metal,3;4;5;6,4,No corresponde,No corresponde,No corresponde,No corresponde,,No corresponde,No corresponde,No corresponde
94,Pu,Plutonio,Metal,3;4;5;6,4,No corresponde,No corresponde,No corresponde,No corresponde,,No corresponde,No corresponde,No corresponde
95,Am,Americio,Metal,3;4;5;6,4,No corresponde,No corresponde,No corresponde,No corresponde,,No corresponde,No corresponde,No corresponde
96,Cm,Curio,Metal,3,1,No corresponde,,,,,No corresponde,No corresponde,No corresponde
97,Bk,Berkelio,Metal,3;4,2,No corresponde,No corresponde,,,,No corresponde,No corresponde,No corresponde
98,Cf,Californio,Metal,3,1,No corresponde,,,,,No corresponde,No corresponde,No corresponde
99,Es,Einstenio,Metal,4,1,No corresponde,,,,,No corresponde,No corresponde,No corresponde
100,Fm,Fermio,Metal,4,1,No corresponde,,,,,No corresponde,No corresponde,No corresponde
101,Md,Mendelevio,Metal,3;4,2,No corresponde,No corresponde,,,,No corresponde,No corresponde,No corresponde
102,No,Nobelio,Metal,3;4,2,No corresponde,No corresponde,,,,No corresponde,No corresponde,No corresponde
103,Lr,Laurencio,Metal,3;4,2,No corresponde,No corresponde,,,,No corresponde,No corresponde,No corresponde
