Order,en,es,fr
1,IUPAC,IUPAC,IUPAC
2,Classic,Classic,Classic
3,Numeral Stock,Numeral Stock,Numeral Stock
4,FQ,FQ,FQ
5,FQ LaTeX,FQ LaTeX,FQ LaTeX
