Order,Symbol,Name,Type,Valence,Amount of Valences,Oxide_ValenceOrder1,Oxide_ValenceOrder2,Oxide_ValenceOrder3,Oxide_ValenceOrder4,Oxide_ValenceOrder5,Stock
56,Ba,Bario,Metal,2,1,Hidruro de Bario,,,,,Hidruro de Bario
57,La,Lantano,Metal,3,1,Hidruro de Lantano,,,,,Hidruro de Lantano
58,Ce,Cerio,Metal,3;4,2,Hidruro Cerioso,Hidruro Cérico,,,,Hidruro de Cerio
59,Pr,Praseodimio,Metal,3;4,2,Hidruro Praseodimioso,Hidruro Praseodímico,,,,Hidruro de Praseodimio
60,Nd,Neodimio,Metal,3,1,Hidruro de Neodimio,,,,,Hidruro de Neodimio
61,Pm,Prometio,Metal,3,1,Hidruro de Prometio,,,,,Hidruro de Prometio
62,Sm,Samario,Metal,2;3,2,Hidruro Samarioso,Hidruro Samárico,,,,Hidruro de Samario
63,Eu,Europio,Metal,2;3,2,Hidruro Europioso,Hidruro Európico,,,,Hidruro de Europio
64,Gd,Gadolinio,Metal,3,1,Hidruro de Gadolinio,,,,,Hidruro de Gadolinio
65,Tb,Terbio,Metal,3;4,2,Hidruro Terbioso,Hidruro Térbico,,,,Hidruro de Terbio
66,Dy,Disprosio,Metal,3,1,Hidruro de Disprosio,,,,,Hidruro de Disprosio
67,Ho,Holmio,Metal,3,1,Hidruro de Holmio,,,,,Hidruro de Holmio
68,Er,Erbio,Metal,3,1,Hidruro de Erbio,,,,,Hidruro de Erbio
69,Tm,Tulio,Metal,2;3,2,Hidruro Tulioso,Hidruro Túlico,,,,Hidruro de Tulio
70,Yb,Iterbio,Metal,2;3,2,Hidruro Iterbioso,Hidruro Itérbico,,,,Hidruro de Iterbio
71,Lu,Lutecio,Metal,3,1,Hidruro de Lutecio,,,,,Hidruro de Lutecio
72,Hf,Hafnio,Metal,4,1,Hidruro de Hafnio,,,,,Hidruro de Hafnio
73,Ta,Tantalio,Metal,5,1,Hidruro de Tantalio,,,,,Hidruro de Tantalio
74,W,Tungsteno,Metal,2;3;4;5;6,5,Hidruro HipoTungstenoso,Hidruro Tungstenoso,Hidruro Tungsténico,Hidruro PerTungsténico,Hidruro SuperTungsténico,Hidruro de Tungsteno
75,Re,Renio,Metal,1;2;4;6;7,5,Hidruro HipoRenioso,Hidruro Renioso,Hidruro Rénico,Hidruro PerRénico,Hidruro SuperRénico,Hidruro de Renio
76,Os,Osmio,Metal,2;3;4;6;8,5,Hidruro HipoOsmioso,Hidruro Osmioso,Hidruro Ósmico,Hidruro PerÓsmico,Hidruro SuperÓsmico,Hidruro de Osmio
77,Ir,Iridio,Metal,2;3;4;6,4,Hidruro HipoIridioso,Hidruro Iridioso,Hidruro Irídico,Hidruro PerIrídico,,Hidruro de Iridio
78,Pt,Platino,Metal,2;4,2,Hidruro Platinoso,Hidruro Platínico,,,,Hidruro de Platino
79,Au,Oro,Metal,1;3,2,Hidruro Auroso,Hidruro Áurico,,,,Hidruro de Oro
80,Hg,Mercurio,Metal,1;2,2,Hidruro Mercurioso,Hidruro Mercúrico,,,,Hidruro de Mercurio
81,Tl,Talio,Metal,1;3,2,Hidruro Talioso,Hidruro Tálico,,,,Hidruro de Talio
82,Pb,Plomo,Metal,2;4,2,Hidruro Plubioso,Hidruro Plúmbico,,,,Hidruro de Plomo
83,Bi,Bismuto,Metal,3;5,2,Hidruro Bismutoso,Hidruro Bismútico,,,,Hidruro de Bismuto
84,Po,Polonio,Metalloid,2;4,2,Hidruro Polonioso,Hidruro Polónico,,,,Hidruro de Polonio
85,At,Astato,Non-metal,1;3;5;7,4,Hidruro HipoAstatoso,Hidruro Astatoso,Hidruro Astático,Hidruro PerAstático,,Hidruro de Astato
86,Rn,Radón,Noble gas,0,1,No corresponde,,,,,No corresponde
87,Fr,Francio,Metal,1,1,Hidruro de Francio,,,,,Hidruro de Francio
88,Ra,Radio,Metal,2,1,Hidruro de Radio,,,,,Hidruro de Radio
89,Ac,Actinio,Metal,3,1,Hidruro de Actinio,,,,,Hidruro de Actinio
90,Th,Torio,Metal,4,1,Hidruro de Torio,,,,,Hidruro de Torio
91,Pa,Protactinio,Metal,4;5,2,Hidruro Protactinioso,Hidruro Protactínico,,,,Hidruro de Protactinio
92,U,Uranio,Metal,3;4;5;6,4,Hidruro HipoUranoso,Hidruro Uranoso,Hidruro Uránico,Hidruro PerUránico,,Hidruro de Uranio
93,Np,Neptunio,Metal,3;4;5;6,4,Hidruro HipoNeptunioso,Hidruro Neptunioso,Hidruro Neptúnico,Hidruro PerNeptúnico,,Hidruro de Neptunio
94,Pu,Plutonio,Metal,3;4;5;6,4,Hidruro HipoPlutonioso,Hidruro Plutonioso,Hidruro Plutónico,Hidruro PerPlutónico,,Hidruro de Plutonio
95,Am,Americio,Metal,3;4;5;6,4,Hidruro HipoAmericioso,Hidruro Americioso,Hidruro Amerícico,Hidruro PerAmerícico,,Hidruro de Americio
96,Cm,Curio,Metal,3,1,Hidruro de Curio,,,,,Hidruro de Curio
97,Bk,Berkelio,Metal,3;4,2,Hidruro Berkelioso,Hidruro Berkélico,,,,Hidruro de Berkelio
98,Cf,Californio,Metal,3,1,Hidruro de Californio,,,,,Hidruro de Californio
99,Es,Einstenio,Metal,4,1,Hidruro de Einstenio,,,,,Hidruro de Einstenio
100,Fm,Fermio,Metal,4,1,Hidruro de Fermio,,,,,Hidruro de Fermio
101,Md,Mendelevio,Metal,3;4,2,Hidruro Mendelevioso,Hidruro Mendelévico,,,,Hidruro de Mendelevio
102,No,Nobelio,Metal,3;4,2,Hidruro Nobelioso,Hidruro Nobélico,,,,Hidruro de Nobelio
103,Lr,Laurencio,Metal,3;4,2,Hidruro Laurencioso,Hidruro Lauréncico,,,,Hidruro de Laurencio
104,Rf,Rutherfordio,Metal,4,1,Hidruro de Rutherfordio,,,,,Hidruro de Rutherfordio
105,Db,Dubnium,Metal,4,1,Hidruro de Dubnium,,,,,Hidruro de Dubnium
106,Sg,Seaborgio,Metal,4,1,Hidruro de Seaborgio,,,,,Hidruro de Seaborgio
107,Bh,Bohrio,Metal,3;4;5,3,Hidruro HipoBohrioso,Hidruro Bohrioso,Hidruro Bóhrico,,,Hidruro de Bohrio
