Order,Symbol,Name,Type,Valence,Amount of Valences,Oxide_ValenceOrder1,Oxide_ValenceOrder2,Oxide_ValenceOrder3,Oxide_ValenceOrder4,Oxide_ValenceOrder5,Stock
53,I,Yodo,Non-metal,1;5;7,3,Hidróxido HipoYodoso,Hidróxido Yodoso,Hidróxido Yódico,,,Hidróxido de Yodo
54,Xe,Xenón,Noble gas,0,1,No corresponde,,,,,No corresponde
55,Cs,Cesio,Metal,1,1,Hidróxido de Cesio,,,,,Hidróxido de Cesio
56,Ba,Bario,Metal,2,1,Hidróxido de Bario,,,,,Hidróxido de Bario
57,La,Lantano,Metal,3,1,Hidróxido de Lantano,,,,,Hidróxido de Lantano
58,Ce,Cerio,Metal,3;4,2,Hidróxido Cerioso,Hidróxido Cérico,,,,Hidróxido de Cerio
59,Pr,Praseodimio,Metal,3;4,2,Hidróxido Praseodimioso,Hidróxido Praseodímico,,,,Hidróxido de Praseodimio
60,Nd,Neodimio,Metal,3,1,Hidróxido de Neodimio,,,,,Hidróxido de Neodimio
61,Pm,Prometio,Metal,3,1,Hidróxido de Prometio,,,,,Hidróxido de Prometio
62,Sm,Samario,Metal,2;3,2,Hidróxido Samarioso,Hidróxido Samárico,,,,Hidróxido de Samario
63,Eu,Europio,Metal,2;3,2,Hidróxido Europioso,Hidróxido Európico,,,,Hidróxido de Europio
64,Gd,Gadolinio,Metal,3,1,Hidróxido de Gadolinio,,,,,Hidróxido de Gadolinio
65,Tb,Terbio,Metal,3;4,2,Hidróxido Terbioso,Hidróxido Térbico,,,,Hidróxido de Terbio
66,Dy,Disprosio,Metal,3,1,Hidróxido de Disprosio,,,,,Hidróxido de Disprosio
67,Ho,Holmio,Metal,3,1,Hidróxido de Holmio,,,,,Hidróxido de Holmio
68,Er,Erbio,Metal,3,1,Hidróxido de Erbio,,,,,Hidróxido de Erbio
69,Tm,Tulio,Metal,2;3,2,Hidróxido Tulioso,Hidróxido Túlico,,,,Hidróxido de Tulio
