Order,Symbol,Name,Type,Valence,Amount of Valences,Oxide_ValenceOrder1,Oxide_ValenceOrder2,Oxide_ValenceOrder3,Oxide_ValenceOrder4,Oxide_ValenceOrder5,Stock
75,Re,Renio,Metal,1;2;4;6;7,5,HipoRenioso,Renioso,Rénico,PerRénico,SuperRénico,de Renio
76,Os,Osmio,Metal,2;3;4;6;8,5,HipoOsmioso,Osmioso,Ósmico,PerÓsmico,SuperÓsmico,de Osmio
77,Ir,Iridio,Metal,2;3;4;6,4,HipoIridioso,Iridioso,Irídico,PerIrídico,,de Iridio
78,Pt,Platino,Metal,2;4,2,Platinoso,Platínico,,,,de Platino
79,Au,Oro,Metal,1;3,2,Auroso,Áurico,,,,de Oro
80,Hg,Mercurio,Metal,1;2,2,Mercurioso,Mercúrico,,,,de Mercurio
81,Tl,Talio,Metal,1;3,2,Talioso,Tálico,,,,de Talio
82,Pb,Plomo,Metal,2;4,2,Plubioso,Plúmbico,,,,de Plomo
83,Bi,Bismuto,Metal,3;5,2,Bismutoso,Bismútico,,,,de Bismuto
84,Po,Polonio,Metalloid,2;4,2,Polonioso,Polónico,,,,de Polonio
85,At,Astato,Non-metal,1;3;5;7,4,No corresponde,No corresponde,No corresponde,No corresponde,,No corresponde
86,Rn,Radón,Noble gas,0,1,No corresponde,,,,,No corresponde
87,Fr,Francio,Metal,1,1,de Francio,,,,,de Francio
88,Ra,Radio,Metal,2,1,de Radio,,,,,de Radio
89,Ac,Actinio,Metal,3,1,de Actinio,,,,,de Actinio
90,Th,Torio,Metal,4,1,de Torio,,,,,de Torio
91,Pa,Protactinio,Metal,4;5,2,Protactinioso,Protactínico,,,,de Protactinio
92,U,Uranio,Metal,3;4;5;6,4,HipoUranoso,Uranoso,Uránico,PerUránico,,de Uranio
93,Np,Neptunio,Metal,3;4;5;6,4,HipoNeptunioso,Neptunioso,Neptúnico,PerNeptúnico,,de Neptunio
94,Pu,Plutonio,Metal,3;4;5;6,4,HipoPlutonioso,Plutonioso,Plutónico,PerPlutónico,,de Plutonio
95,Am,Americio,Metal,3;4;5;6,4,HipoAmericioso,Americioso,Amerícico,PerAmerícico,,de Americio
96,Cm,Curio,Metal,3,1,de Curio,,,,,de Curio
97,Bk,Berkelio,Metal,3;4,2,Berkelioso,Berkélico,,,,de Berkelio
98,Cf,Californio,Metal,3,1,de Californio,,,,,de Californio
99,Es,Einstenio,Metal,4,1,de Einstenio,,,,,de Einstenio
100,Fm,Fermio,Metal,4,1,de Fermio,,,,,de Fermio
101,Md,Mendelevio,Metal,3;4,2,Mendelevioso,Mendelévico,,,,de Mendelevio
102,No,Nobelio,Metal,3;4,2,Nobelioso,Nobélico,,,,de Nobelio
103,Lr,Laurencio,Metal,3;4,2,Laurencioso,Lauréncico,,,,de Laurencio
104,Rf,Rutherfordio,Metal,4,1,de Rutherfordio,,,,,de Rutherfordio
105,Db,Dubnium,Metal,4,1,de Dubnium,,,,,de Dubnium
106,Sg,Seaborgio,Metal,4,1,de Seaborgio,,,,,de Seaborgio
107,Bh,Bohrio,Metal,3;4;5,3,HipoBohrioso,Bohrioso,Bóhrico,,,de Bohrio
108,Hs,Hassio,Metal,2;4;6;7,4,HipoHassioso,Hassioso,Hássico,PerHássico,,de Hassio
109,Mt,Meitnerio,Metal,2;3;4;6,4,HipoMeitnerioso,Meitnerioso,Meitnérico,PerMeitnérico,,de Meitnerio
110,Ds,Darmstatio,Metal,2;4,2,Darmstatioso,Darmstático,,,,de Darmstatio
111,Rg,Roentgenio,Metal,2;3,2,Roentgenioso,Roentegénico,,,,de Roentgenio
112,Cn,Copérnico,Metal,1;2,2,Copernicoso,Copérnico,,,,de Copérnico
113,Nh,Nihonium,Metal,3,1,de Nihonium,,,,,de Nihonium
114,Fl,Flerovio,Metal,2;4;6,3,HipoFlerovioso,Flerovioso,Fleróvico,,,de Flerovio
115,Mc,Moscovio,Metal,1;4;5,3,HipoMoscovioso,Moscovioso,Moscóvico,,,de Moscovio
116,Lv,Livermorio,Metal,3;4;5,3,HipoLivermorioso,Livermorioso,Livermórico,,,de Livermorio
117,Ts,Tenesino,Metal,1;2;3,3,HipoTenesinoso,Tenesinoso,Tenésico,,,de Tenesino
118,Og,Oganeson,Metal,4;7,2,Oganesonoso,Oganésico,,,,de Oganeson
