Order,Symbol,Name,Type,Valence,Amount of Valences,Oxide_ValenceOrder1,Oxide_ValenceOrder2,Oxide_ValenceOrder3,Oxide_ValenceOrder4,Oxide_ValenceOrder5,Stock
59,Pr,Praseodimio,Metal,3;4,2,Óxido Praseodimioso,Óxido Praseodímico,,,,Óxido de Praseodimio
60,Nd,Neodimio,Metal,3,1,Óxido de Neodimio,,,,,Óxido de Neodimio
61,Pm,Prometio,Metal,3,1,Óxido de Prometio,,,,,Óxido de Prometio
62,Sm,Samario,Metal,2;3,2,Óxido Samarioso,Óxido Samárico,,,,Óxido de Samario
63,Eu,Europio,Metal,2;3,2,Óxido Europioso,Óxido Európico,,,,Óxido de Europio
64,Gd,Gadolinio,Metal,3,1,Óxido de Gadolinio,,,,,Óxido de Gadolinio
65,Tb,Terbio,Metal,3;4,2,Óxido Terbioso,Óxido Térbico,,,,Óxido de Terbio
66,Dy,Disprosio,Metal,3,1,Óxido de Disprosio,,,,,Óxido de Disprosio
67,Ho,Holmio,Metal,3,1,Óxido de Holmio,,,,,Óxido de Holmio
68,Er,Erbio,Metal,3,1,Óxido de Erbio,,,,,Óxido de Erbio
69,Tm,Tulio,Metal,2;3,2,Óxido Tulioso,Óxido Túlico,,,,Óxido de Tulio
70,Yb,Iterbio,Metal,2;3,2,Óxido Iterbioso,Óxido Itérbico,,,,Óxido de Iterbio
71,Lu,Lutecio,Metal,3,1,Óxido de Lutecio,,,,,Óxido de Lutecio
72,Hf,Hafnio,Metal,4,1,Óxido de Hafnio,,,,,Óxido de Hafnio
73,Ta,Tantalio,Metal,5,1,Óxido de Tantalio,,,,,Óxido de Tantalio
74,W,Tungsteno,Metal,2;3;4;5;6,5,Óxido HipoTungstenoso,Óxido Tungstenoso,Óxido Tungsténico,Óxido PerTungsténico,Óxido SuperTungsténico,Óxido de Tungsteno
75,Re,Renio,Metal,1;2;4;6;7,5,Óxido HipoRenioso,Óxido Renioso,Óxido Rénico,Óxido PerRénico,Óxido SuperRénico,Óxido de Renio
76,Os,Osmio,Metal,2;3;4;6;8,5,Óxido HipoOsmioso,Óxido Osmioso,Óxido Ósmico,Óxido PerÓsmico,Óxido SuperÓsmico,Óxido de Osmio
77,Ir,Iridio,Metal,2;3;4;6,4,Óxido HipoIridioso,Óxido Iridioso,Óxido Irídico,Óxido PerIrídico,,Óxido de Iridio
78,Pt,Platino,Metal,2;4,2,Óxido Platinoso,Óxido Platínico,,,,Óxido de Platino
79,Au,Oro,Metal,1;3,2,Óxido Auroso,Óxido Áurico,,,,Óxido de Oro
80,Hg,Mercurio,Metal,1;2,2,Óxido Mercurioso,Óxido Mercúrico,,,,Óxido de Mercurio
81,Tl,Talio,Metal,1;3,2,Óxido Talioso,Óxido Tálico,,,,Óxido de Talio
82,Pb,Plomo,Metal,2;4,2,Óxido Plubioso,Óxido Plúmbico,,,,Óxido de Plomo
83,Bi,Bismuto,Metal,3;5,2,Óxido Bismutoso,Óxido Bismútico,,,,Óxido de Bismuto
84,Po,Polonio,Metalloid,2;4,2,Óxido Polonioso,Óxido Polónico,,,,Óxido de Polonio
85,At,Astato,Non-metal,1;3;5;7,4,Óxido HipoAstatoso,Óxido Astatoso,Óxido Astático,Óxido PerAstático,,Óxido de Astato
86,Rn,Radón,Noble gas,0,1,No corresponde,,,,,No corresponde
87,Fr,Francio,Metal,1,1,Óxido de Francio,,,,,Óxido de Francio
88,Ra,Radio,Metal,2,1,Óxido de Radio,,,,,Óxido de Radio
89,Ac,Actinio,Metal,3,1,Óxido de Actinio,,,,,Óxido de Actinio
90,Th,Torio,Metal,4,1,Óxido de Torio,,,,,Óxido de Torio
91,Pa,Protactinio,Metal,4;5,2,Óxido Protactinioso,Óxido Protactínico,,,,Óxido de Protactinio
92,U,Uranio,Metal,3;4;5;6,4,Óxido HipoUranoso,Óxido Uranoso,Óxido Uránico,Óxido PerUránico,,Óxido de Uranio
93,Np,Neptunio,Metal,3;4;5;6,4,Óxido HipoNeptunioso,Óxido Neptunioso,Óxido Neptúnico,Óxido PerNeptúnico,,Óxido de Neptunio
94,Pu,Plutonio,Metal,3;4;5;6,4,Óxido HipoPlutonioso,Óxido Plutonioso,Óxido Plutónico,Óxido PerPlutónico,,Óxido de Plutonio
95,Am,Americio,Metal,3;4;5;6,4,Óxido HipoAmericioso,Óxido Americioso,Óxido Amerícico,Óxido PerAmerícico,,Óxido de Americio
96,Cm,Curio,Metal,3,1,Óxido de Curio,,,,,Óxido de Curio
97,Bk,Berkelio,Metal,3;4,2,Óxido Berkelioso,Óxido Berkélico,,,,Óxido de Berkelio
98,Cf,Californio,Metal,3,1,Óxido de Californio,,,,,Óxido de Californio
99,Es,Einstenio,Metal,4,1,Óxido de Einstenio,,,,,Óxido de Einstenio
100,Fm,Fermio,Metal,4,1,Óxido de Fermio,,,,,Óxido de Fermio
101,Md,Mendelevio,Metal,3;4,2,Óxido Mendelevioso,Óxido Mendelévico,,,,Óxido de Mendelevio
102,No,Nobelio,Metal,3;4,2,Óxido Nobelioso,Óxido Nobélico,,,,Óxido de Nobelio
103,Lr,Laurencio,Metal,3;4,2,Óxido Laurencioso,Óxido Lauréncico,,,,Óxido de Laurencio
104,Rf,Rutherfordio,Metal,4,1,Óxido de Rutherfordio,,,,,Óxido de Rutherfordio
105,Db,Dubnium,Metal,4,1,Óxido de Dubnium,,,,,Óxido de Dubnium
106,Sg,Seaborgio,Metal,4,1,Óxido de Seaborgio,,,,,Óxido de Seaborgio
